"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"11",6281915,"AGROCENTRO COMERCIAL DE AGUASCALIENTES","AGROCENTRO COMERCIAL DE AGUASCALIENTES SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","11 a 30 personas","TERRACERÍA","CARRETERA MUNICIPAL LIBRE RINCÓN DE ROMOS TEPEZALA KILÓMETRO 22",NA,"NINGUNO",NA,"A ZACATECAS",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","CORREDOR INDUSTRIAL",NA,NA,"0",20400,"01","AGUASCALIENTES","007","Rincón de Romos","0035","Rincón de Romos [Estación]","0078","002",NA,NA,NA,"Fijo",22.22551097,-102.27856431,"JULIO 2010"
"12",6281010,"AGROCENTRO COMERCIAL DE AGUASCALIENTES SA DE CV","AGROCENTRO COMERCIAL DE AGUASCALIENTES SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","51 a 100 personas","BOULEVARD","A ZACATECAS","BOULEVARD","ÉBANO","CALLE","INDUSTRIA","CALLE","TROQUEL",117,"A",NA,NA,NA,NA,"HACIENDA","LAS HADAS",NA,NA,NA,20140,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","198A","002",NA,NA,NA,"Fijo",21.90414755,-102.29075837,"JULIO 2010"
"13",6755980,"AGROCHEM DE MÉXICO SA DE CV","AGROCHEM DE MEXICO SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","AVENIDA","UNIVERSIDAD",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",904,NA,NA,NA,NA,NA,"COLONIA","SANTA NITA",NA,NA,NA,20400,"01","AGUASCALIENTES","007","Rincón de Romos","0351","Quinta Hermosa [Rancho]","0044","800",NA,NA,NA,"Fijo",22.22351027,-102.31048417,"OCTUBRE 2016"
"14",34866,"AGRODEPOT VENTA DE BOMBAS DE AGUA","AGRODEPOT, S.A. DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","CALLE","GENERAL IGNACIO ZARAGOZA","CALLE","RÍO PIRULES","CALLE","RÍO MORCINIQUE","CALLE","MARINA NACIONAL",0,"SN",NA,NA,NA,NA,"COLONIA","SAN PABLO",NA,NA,NA,20050,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0500","014","4499167358","PTOVENTA02@AGRODEPOT.COM.MX","WWW.AGRODEPOT.COM.MX","Fijo",21.89150863,-102.29622744,"DICIEMBRE 2014"
"15",49812,"AGROFACTO, S.A. DE C.V.","AGROFACTO, S.A. DE C.V.",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","6 a 10 personas","CALLE","VIÑEDOS RIVIER","CALLE","INDEPENDENCIA","CALLE","VIÑEDOS SAN FELIPE","CALLE","VIÑEDOS SAN MARCOS",119,NA,NA,NA,NA,NA,NA,"VIÑEDOS SAN MARCOS","CENTRAL DE ABASTO","VIÑEDOS SAN MARCOS","119",20908,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","015","4492511517",NA,NA,"Fijo",21.9711884,-102.29082027,"DICIEMBRE 2014"
"16",24623,"AGROFERZAG","AGROFERZAG, S.A. DE C.V.",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","BOULEVARD","A ZACATECAS","AVENIDA","CONVENCIÓN DE 1914 NORTE","CALLE","CELSO BERNAL","CALLE","20 DE NOVIEMBRE",1,NA,NA,NA,NA,NA,"COLONIA","MORELOS",NA,"ROMO","2",NA,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","198A","056","014499143404","AGROFERZAG@HOTMAIL.COM",NA,"Fijo",21.9017837,-102.29240621,"JULIO 2013"
"17",661,"AGROINSUMOS JOSÉ LUZ",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","BOULEVARD","RODOLFO LANDEROS GALLEGOS","PRIVADA","SAN IGNACIO","CALLE","NINGUNO","CALLE","NINGUNO",110,"B",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,20800,"01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0187","041","4959567264",NA,NA,"Fijo",21.84720259,-102.71209176,"JULIO 2010"
"18",47392,"AGROPECUARIA DEL CENTRO",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","MÉXICO","CALLE","INSURGENTES PONIENTE","CALLE","DOCTOR FRANCISCO GUEL JIMÉNEZ","AVENIDA","DOLORES HIDALGO",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,20400,"01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0063","002",NA,NA,NA,"Fijo",22.22770424,-102.31897877,"DICIEMBRE 2014"
"19",6252588,"AGROPECUARIA PUEBLO BONITO","AGROPECUARIA PUEBLO BONITO SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","6 a 10 personas","CALLE","VIÑEDOS SAN MARCOS","CALLE","INDEPENDENCIA","CARRETERA","CARRETERA FEDERAL LIBRE 45 AGUASCALIENTES-ZACATECAS","CALLE","VIÑEDOS VIDES",130,NA,NA,NA,NA,NA,"COLONIA","CENTRO DISTRIBUIDOR DE BÁSICOS VIÑEDO SAN MARCOS","CENTRAL DE ABASTOS","VIÑEDOS SAN MARCOS","4",20908,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","023",NA,NA,NA,"Fijo",21.97034938,-102.29064349,"DICIEMBRE 2014"
"20",49750,"AGROPECUARIA PUEBLO BONITO SA DE CV","AGROPECUARIA PUEBLO BONITO SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","6 a 10 personas","CALLE","VIÑEDOS SANTA ELENA","CALLE","INDEPENDENCIA","CARRETERA","CARRETERA FEDERAL LIBRE 45 AGUASCALIENTES-ZACATECAS","CALLE","VIÑEDOS RIVIER",130,NA,NA,NA,NA,NA,"COLONIA","VIÑEDOS SAN MARCOS","CENTRAL DE ABASTOS","CENTRAL DE ABASTOS VIÑEDOS SAN MARCOS","130",20908,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","007",NA,NA,NA,"Fijo",21.97200552,-102.29078317,"DICIEMBRE 2014"
"21",593,"AGROPECUARIO DEL HUAJUCAR",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","BENITO JUÁREZ","CALLE","CRISTÓBAL COLÓN","CALLE","CENTENARIO","PEATONAL","MIGUEL HIDALGO",107,"B",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,20800,"01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0187","013","4959560232","MSERNA@YAHOO.COM.MX",NA,"Fijo",21.84691739,-102.7178253,"JULIO 2010"
"22",18775,"AGROPRODUCTOS DE AGS",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","5 DE MAYO","CALLE","JARDÍN DE ZARAGOZA","CALLE","LICENCIADO BENITO JUÁREZ","CALLE","GUZMÁN",535,NA,NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,20000,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0515","022","4499166985",NA,NA,"Fijo",21.88673562,-102.29693439,"JULIO 2010"
"23",6345970,"AGROQUÍMICOS E IMPORTACIONES DE RIEGO LA HUERTA SA DE CV SUCURSAL AGUASCALIENTES","AGROQUÍMICOS E IMPORTACIONES DE RIEGO LA HUERTA SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CARRETERA","CARRETERA FEDERAL LIBRE 45 TRAMO AGUASCALIENTES ZACATECAS","CALLE","VIÑEDOS SAN MARCOS",NA,"NINGUNO","AVENIDA","INDEPENDENCIA",102,NA,NA,NA,0,"2","AEROPUERTO","VINEDOS SAN MARCOS",NA,NA,NA,20900,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","800",NA,"CONTABILIDAD@AGROLAHUERTA","WWW.AGROLAHUERTA.COM.MX","Fijo",21.9725,-102.28972222,"DICIEMBRE 2014"
"24",22002,"AGROQUÍMICOS Y FERTILIZANTES DE RINCÓN",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","MÉXICO","CALLE","EMILIANO ZAPATA","CALLE","FRANCISCO VILLA","CALLE","PROFESOR ANSELMO CHÁVEZ",508,NA,NA,NA,NA,NA,"COLONIA","SANTA ANITA",NA,NA,NA,20400,"01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0063","028",NA,NA,NA,"Fijo",22.22538747,-102.31922193,"JULIO 2010"
"25",43471,"BINASA DE AGUASCALIENTES, S. DE R.L. DE C.V.","BINASA DE AGUASCALIENTES, S. DE R.L. DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","11 a 30 personas","CALLE","AGLAYA","CALLE","MELQUÍADES MORENO","BOULEVARD","A ZACATECAS","CALLE","TEPEZALÁ",1410,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","EL PLATEADO",NA,NA,NA,20137,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1975","049","4499180055","BINASAAGS@PRODIGY.NET.MX",NA,"Fijo",21.90799124,-102.29288795,"DICIEMBRE 2014"
"26",6725470,"BURCART POWER","BURCAT POWER IMP Y COM, S.A. DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","AVENIDA","UNIVERSIDAD","CALLE","SIERRA AZUL","CALLE","LAGOS DE MORENO","CALLE","SIERRA DE TEPOZTLÁN",811,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","BOSQUES DEL PRADO SUR","CENTROS Y PLAZAS COMERCIALES","PLAZA SANTA FÉ","32",20130,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2278","025","014491530589",NA,NA,"Fijo",21.91116842,-102.31140048,"ENERO 2016"
"27",18758,"CASA DEL HORTELANO SEMILLA INSECTICIDAS",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","5 DE MAYO","CALLE","LICENCIADO BENITO JUÁREZ","CALLE","LARREATEGUI","CALLE","JOSÉ MARÍA MORELOS Y PAVÓN",513,NA,NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,20000,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0515","032","4499157130",NA,NA,"Fijo",21.8863377,-102.29710107,"JULIO 2010"
"28",6422142,"CEREALES Y SEMILLAS",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","AVENIDA","OJOCALIENTE","PROLONGACIÓN","ALAMEDA","CALLE","FUENTE DE DIANA",NA,"NINGUNO",107,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","FIDEL VELAZQUEZ",NA,NA,NA,20199,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2583","016",NA,NA,NA,"Fijo",21.89079183,-102.25738908,"JULIO 2010"
"29",18766,"COMERCIAL AGRÍCOLA DE AGUASCALIENTES",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","5 DE MAYO","CALLE","JARDÍN DE ZARAGOZA","CALLE","LICENCIADO BENITO JUÁREZ","CALLE","GENERAL JOSÉ MARÍA ARTEAGA",527,NA,NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,20000,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0515","022","4499156925",NA,NA,"Fijo",21.8868543,-102.29688822,"JULIO 2010"
"30",6757671,"COMERCIAL AGRÍCOLA EL SOL SA DE CV","COMERCIAL AGRÍCOLA EL SOL SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","6 a 10 personas","CARRETERA","CARRETERA ESTATAL LIBRE 90 ESTACIÓN RINCÓN DE ROMOS - PABELLÓN DE ARTEAGA KILÓMETRO 5",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"RANCHO","EL CENIZO",NA,NA,NA,20400,"01","AGUASCALIENTES","007","Rincón de Romos","0130","El Cenizo [Rancho]","0078","800",NA,NA,NA,"Fijo",22.19690626,-102.27731856,"OCTUBRE 2016"
"31",43619,"COMERCIALIZACIÓN DE FERTILIZANTEZ",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","JABONERA","CALLE","TINAJUELA","CALLE","EL BAJÍO","CALLE","EL BAJÍO",136,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","MUNICIPIO LIBRE",NA,NA,NA,20199,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2598","005",NA,NA,NA,"Fijo",21.89634074,-102.25741369,"DICIEMBRE 2014"
"32",39342,"COMERCIALIZADORA MEXICANA DE INGENIERÍA Y TRANSFORMADOR S RL, DE C.V.","COMERCIALIZADORA MEXICANA DE INGENIERÍA Y TRANSFORMADOR S RL, DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","AVENIDA","UNIVERSIDAD","AVENIDA","AGUASCALIENTES NORTE","CALLE","SIERRA DE LA CANELA","CALLE","MONTE EVEREST",1001,NA,"TORRE PLAZA BOSQUES","10",NA,NA,"FRACCIONAMIENTO","BOSQUES DEL PRADO",NA,NA,NA,20127,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2259","019","4491531305",NA,NA,"Fijo",21.91671993,-102.31356983,"DICIEMBRE 2014"
"33",41326,"COMERCIALIZADORA MIKE KAMEL, S.A. DE C.V.","COMERCIALIZADORA MIKE KAMEL, S.A. DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","BOULEVARD","LICENCIADO ADOLFO RUIZ CORTINES","CALLE","NINGUNO","CALLE","FELIPE ÁNGELES",NA,"NINGUNO",760,"B",NA,NA,NA,NA,"PARQUE INDUSTRIAL","EL VERGEL",NA,NA,NA,20219,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1674","004",NA,NA,NA,"Fijo",21.87169682,-102.3259082,"DICIEMBRE 2014"
"34",6713697,"COMPO AGRO MÉXICO","COMPO AGRO MÉXICO SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","11 a 30 personas","CARRETERA","CARRETERA FEDERAL LIBRE 22 RINCÓN DE ROMO- TEPEZALA KILÓMETRO 2","CARRETERA","LIBRAMIENTO DE RINCÓN DE ROMOS",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"NINGUNO","NINGUNO",NA,NA,NA,20400,"01","AGUASCALIENTES","007","Rincón de Romos","0287","Los Conos [Bodegas Rurales CONASUPO]","0078","800",NA,NA,NA,"Fijo",22.2246189,-102.2950209,"ENERO 2016"
"35",26532,"CONSEJO DE PRODUCTORES DE HORTALIZAS, A.C.",NA,435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","CALLE","HÉROES DE CHAPULTEPEC","AVENIDA","JOSEFA ORTIZ DE DOMÍNGUEZ","CALLE","20 DE NOVIEMBRE","AVENIDA","JESÚS MACÍAS RANGEL",400,NA,NA,NA,NA,NA,"COLONIA","LA LOMA",NA,NA,NA,20700,"01","AGUASCALIENTES","002","Asientos","0059","Villa Juárez","0086","008",NA,NA,NA,"Fijo",22.09793107,-102.06492641,"JULIO 2010"
"36",12414,"CORPORACIÓN AGRÍCOLA HIDROCÁLIDA","CORPORACIÓN AGRÍCOLA HIDROCÁLIDA, S.A. DE C.V.",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","6 a 10 personas","CALLE","TALÍA","AVENIDA","HÉROE DE NACOZARI NORTE","BOULEVARD","A ZACATECAS","CALLE","CIRCE",117,"B",NA,NA,NA,NA,"FRACCIONAMIENTO","LAS HADAS",NA,NA,NA,20140,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1975","005","4499120449","CORAZA@HOTMAIL.COM",NA,"Fijo",21.90901316,-102.29178256,"JULIO 2010"
"37",19770,"DISTRIBUIDORA AGROPECUARIA EL HUIZACHE",NA,434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","AVENIDA","PANAMERICANA",NA,"PANAMERICANA","CARRETERA","CARRETERA 45 PANAMERICANA","CALLE","ESTEBAN S. CASTORENA",0,"SN",NA,NA,NA,"SN","COLONIA","CENTRO",NA,NA,NA,20460,"01","AGUASCALIENTES","004","Cosío","0001","Cosío","0108","013","4498069297",NA,NA,"Fijo",22.36324883,-102.2961204,"JULIO 2010"
"38",6281456,"DUCOR","DUCORAGRO SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CARRETERA","CARRETERA AGUASCALIENTES-LA GUAYANA KILÓMETRO 1 500","CARRETERA","CARRETERA FEDERAL 45",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","SAN FRANCISCO DE LOS ROMOS",NA,NA,NA,20355,"01","AGUASCALIENTES","005","Jesús María","7028","Localidad económica","0035","800",NA,NA,NA,"Fijo",21.98293624,-102.27663503,"DICIEMBRE 2014"
"39",51230,"EL AMIGO DEL AGRICULTOR",NA,435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","CALLE","PETRÓLEOS MEXICANOS","PRIVADA","NINGUNO","CALLE","PROFESOR EDMUNDO GÁMEZ OROZCO","PRIVADA","MELQUÍADES MORENO 605",716,"B",NA,NA,NA,NA,"COLONIA","INDUSTRIAL",NA,NA,NA,20030,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0375","024","4499144779","REGALADO_JUANC@HOTMAIL.COM",NA,"Fijo",21.89770271,-102.29291683,"JULIO 2010"
"40",10277,"EQUIPOS DÁVILA DE LA HOZ","EQUIPOS DÁVILA DE LA HOZ, S.A. DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","11 a 30 personas","AVENIDA","LUIS GIL","BOULEVARD","A ZACATECAS","PRIVADA","LUIS GIL","CALLE","NINGUNO",128,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","TALAMANTES PONCE",NA,NA,NA,20110,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1316","016","4499731196",NA,NA,"Fijo",21.93106239,-102.29266903,"JULIO 2010"
"41",2638,"EQUIPOS E INSUMOS DE AGUASCALIENTES",NA,435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","6 a 10 personas","AVENIDA","CONVENCIÓN DE 1914 PONIENTE","CALLE","JARDINES ETERNOS","CALLE","MIGUEL RUELAS","CALLE","PROFESORA MARÍA CONCEPCIÓN MALDONADO",1620,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","LA CONCORDIA",NA,NA,NA,20040,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0322","010","4499125405",NA,NA,"Fijo",21.89037207,-102.31268549,"JULIO 2010"
"42",49768,"EQUIPOS LECHEROS, S.A. DE C.V.","EQUIPOS LECHEROS, S.A. DE C.V.",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","6 a 10 personas","CALLE","VIÑEDOS SAN JOSÉ","CALLE","INDEPENDENCIA","CALLE","VIÑEDOS SAN FELIPE","CALLE","VIÑEDOS SANTO TOMÁS",204,NA,NA,NA,NA,NA,NA,"VIÑEDOS SAN MARCOS",NA,NA,NA,20908,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","013","4499128957",NA,NA,"Fijo",21.97413751,-102.2911191,"MARZO 2011"
