"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","tipo_comercio"
"14",305771,"BENEFICIADORA DE NUEZ HERNANDEZ","BENEFICIADORA DE NUEZ HERNANDEZ",115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","RÍO YAQUI","CALLE","RÍO FLORIDO","CALLE","RÍO SABINAS","CALLE","RÍO VERDE",1234,NA,NA,NA,NA,NA,"COLONIA","MAGDALENAS",NA,NA,"1234",27010,"05","COAHUILA DE ZARAGOZA","035","Torreón","0001","Torreón","0070","055","8713017479",NA,NA,"Fijo",25.56278177,-103.41722251,"JULIO 2010","Otra"
"15",305310,"PRODUCCIÓN DE PROMANUEZ","PROMANUEZ, S.A. DE C.V.",115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","TEPANECAS","CALZADA","ÁVILA CAMACHO","CALLE","CUITLÁHUAC","CALLE","TLAXCALTECAS",0,"SN",NA,NA,NA,NA,"COLONIA","SANTA MARIA",NA,NA,NA,27020,"05","COAHUILA DE ZARAGOZA","035","Torreón","0001","Torreón","0117","025","8717188023",NA,NA,"Fijo",25.55692715,-103.42433169,"JULIO 2010","Procesamiento"
"16",6737968,"SINOMACH","RESES Y NOGALES DE MEXICO SA DE CV",115113,"Beneficio de productos agrícolas","6 a 10 personas","BOULEVARD","CENTENARIO","BOULEVARD","DEL COBRE",NA,"NINGUNO",NA,"NINGUNO",1720,NA,NA,NA,NA,NA,"EJIDO","EL RANCHITO",NA,NA,NA,27110,"05","COAHUILA DE ZARAGOZA","035","Torreón","0001","Torreón","3291","040",NA,NA,NA,"Fijo",25.5961241,-103.42642874,"OCTUBRE 2016","Otra"
"17",340497,"CAMPO AGRÍCOLA BERRIES PARADISE","BERRIES PARADISE, S.P.R. DE R.L.",115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","MORELOS","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","HIDALGO",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,28410,"06","COLIMA","004","Coquimatlán","0015","Pueblo Juárez (La Magdalena)","0204","025",NA,NA,"WWW.BERRIESPARADISE.COM","Fijo",19.17470442,-103.92543044,"DICIEMBRE 2014","Otra"
"18",6740445,"DERI DE COCOS LAS PALMAS","DERI DE COCOS LAS PALMAS SA CV",115113,"Beneficio de productos agrícolas","6 a 10 personas","CALLE","JUAN JOSÉ SEVILLA","CALLE","2 DE ABRIL","PROLONGACIÓN","REVOLUCIÓN","CALLE","CUATRO",375,NA,NA,NA,NA,NA,"COLONIA","PABLO SILVA GARCÍA",NA,NA,NA,28160,"06","COLIMA","009","Tecomán","0001","Tecomán","022A","028",NA,NA,NA,"Fijo",18.90800498,-103.86102043,"OCTUBRE 2016","Otra"
"19",336917,"GRANJA EL NARANJAL",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","CAMINO A LA CAPACHA","PERIFÉRICO","TERCER ANILLO PERIFÉRICO","CALLE","NINGUNO","AVENIDA","CAMINO A LA CAPACHA",0,"SN",NA,NA,NA,NA,"FRACCIONAMIENTO","VICTORIA",NA,NA,NA,28017,"06","COLIMA","002","Colima","0001","Colima","1301","026",NA,NA,NA,"Fijo",19.27055077,-103.70181283,"DICIEMBRE 2014","Otra"
"20",6696251,"QUEBRADERO",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","PROLONGACIÓN","REVOLUCIÓN","AVENIDA","PROFESOR JUAN OSEGUERA VELÁZQUEZ (AMELA SUR)","PRIVADA","ELÍAS LOZANO MERINO",NA,"SELECCIONE UNA OPCIÓN",0,"SN",NA,NA,NA,NA,"COLONIA","PONCIANO ARRIAGA",NA,NA,NA,28160,"06","COLIMA","009","Tecomán","0001","Tecomán","022A","003",NA,NA,NA,"Fijo",18.90832753,-103.86329373,"ENERO 2016","Otra"
"21",342525,"REFRES COCO",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","PROLONGACIÓN","REVOLUCIÓN","CALLE","JUAN JOSÉ SEVILLA","CALLE","CUATRO","CALLE","2 DE ABRIL",0,"SN",NA,NA,NA,NA,"COLONIA","PABLO SILVA GARCIA",NA,NA,NA,28160,"06","COLIMA","009","Tecomán","0001","Tecomán","022A","028",NA,NA,NA,"Fijo",18.90790739,-103.86089619,"DICIEMBRE 2014","Otra"
"22",376220,"CAFETERÍA MR COFEE","MR COFFEE, S.A. DE C.V.",115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLEJÓN","SAN FRANCISCO EL SABINAL","BOULEVARD","DOCTOR BELISARIO DOMÍNGUEZ","AVENIDA","PALMAS","CALLE","LAURELES",282,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","JARDINES DE TUXTLA",NA,NA,NA,29020,"07","CHIAPAS","101","Tuxtla Gutiérrez","0001","Tuxtla Gutiérrez","1272","041","9616150009",NA,NA,"Fijo",16.75721168,-93.14727814,"JULIO 2010","Otra"
"23",6254783,"GRUPO SAN CARLOS","BANANERA TROPICAL SA DE CV",115113,"Beneficio de productos agrícolas","31 a 50 personas","TERRACERÍA","PICHUCALCO A RIVERA EL BLANQUILLO",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,NA,NA,NA,NA,NA,"NINGUNO","EL BLANQUILLO",NA,NA,NA,29526,"07","CHIAPAS","068","Pichucalco","0014","Blanquillo 1ra. Sección","0066","800",NA,NA,NA,"Fijo",17.56084305,-93.08227224,"DICIEMBRE 2014","Otra"
"24",6732297,"NATURA FRUT BAUTISTA","NATURAFRUT BAUTISTA SPR RL CV",115113,"Beneficio de productos agrícolas","101 a 250 personas","CARRETERA","FEDERAL LIBRE TRAMO TAPACHULA-PUERTO MADERO KILÓMETRO 20 450 MARGEN IZQUIERDO","CARRETERA","ZONA NAVAL","CARRETERA","SUCHIATE",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"RANCHERÍA","LEONCILLOS CANTÓN",NA,NA,NA,30832,"07","CHIAPAS","089","Tapachula","0106","Leoncillos","0297","001",NA,NA,NA,"Fijo",14.76140681,-92.38746911,"OCTUBRE 2016","Otra"
"25",390590,"SUMINISTROS DE MAÍZ DEL MAYAB, S.A. DE C.V.","SUMINISTROS DE MAÍZ DEL MAYAB, S.A. DE C.V.",115113,"Beneficio de productos agrícolas","0 a 5 personas","PRIVADA","NOVENA SUR ORIENTE","CALLE","SÉPTIMA ORIENTE SUR","CALLE","QUINTA ORIENTE SUR","AVENIDA","NOVENA SUR ORIENTE",653,NA,NA,NA,NA,NA,"COLONIA","OBRERA",NA,NA,NA,29080,"07","CHIAPAS","101","Tuxtla Gutiérrez","0001","Tuxtla Gutiérrez","1094","030","9616132848","DULCE.GARCIA@SUMASA.COM.MX",NA,"Fijo",16.74484068,-93.11242839,"JULIO 2010","Otra"
"26",581054,"AGROFRUTAS DEL CAMPO",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas",NA,"NINGUNO","BOULEVARD","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,NA,"101",NA,NA,NA,31610,"08","CHIHUAHUA","017","Cuauhtémoc","0370","Campo Número Ciento Dos y Medio","1375","002","6255841057",NA,NA,"Fijo",28.76930443,-107.00398818,"DICIEMBRE 2014","Otra"
"27",580855,"ARROYO SECO","ARROYO SECO S.P.R, DE R.L. DE C.V.",115113,"Beneficio de productos agrícolas","11 a 30 personas","CARRETERA","ESTATAL CUAUHTÉMOC A ÁLVARO OBREGÓN","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"CORREDOR INDUSTRIAL","KILOMETRO 4",NA,NA,NA,31500,"08","CHIHUAHUA","017","Cuauhtémoc","0663","Ordóñez [Corrales]","1500","800",NA,NA,NA,"Fijo",28.43382385,-106.91032663,"DICIEMBRE 2014","Otra"
"28",6729472,"DISTRIBUIDORA MARJAMA",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","JUÁREZ","CALLE","DÉCIMA QUINTA","CALLE","DÉCIMA SÉPTIMA","CALLE","RAMÍREZ",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,31680,"08","CHIHUAHUA","031","Guerrero","0001","Vicente Guerrero","0592","040","6355861399",NA,NA,"Fijo",28.55303426,-107.4852238,"ENERO 2016","Otra"
"29",6292366,"FRUTAS CASA GRANDE S DE PR DE RS DE CV","FRUTAS CASA GRANDE S DE PR DE RS DE CV",115113,"Beneficio de productos agrícolas","251 y más personas","BOULEVARD","BENITO JUÁREZ",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,31700,"08","CHIHUAHUA","050","Nuevo Casas Grandes","0001","Nuevo Casas Grandes","0579","070",NA,NA,NA,"Fijo",30.39235904,-107.91633782,"JULIO 2010","Otra"
"30",564316,"FRUTAS CASA GRANDE S.P.R. DE RS, DE C.V.","FRUTAS CASA GRANDE S.P.R. DE RS, DE C.V.",115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","NINGUNO","CALLE","NINGUNO","BOULEVARD","BENITO JUÁREZ","CALLE","DURANGO",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,"SN",31700,"08","CHIHUAHUA","050","Nuevo Casas Grandes","0001","Nuevo Casas Grandes","0579","040","6366941886","CASAGRANDE1@PRODIGY.NET.MX","WWW.FRUTASCASAGRANDE.COM","Fijo",30.39404028,-107.91614843,"JULIO 2010","Otra"
"31",580308,"FRUTICULTORES UNIDOS DE CHIHUAHUA, S.P.R DE R.L.","FRUTICULTORES UNIDOS DE CHIHUAHUA, S.P.R DE R.L.",115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","LIBRAMIENTO MANUEL GÓMEZ MORÍN","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"FRACCIÓN","NINGUNO",NA,NA,NA,31579,"08","CHIHUAHUA","017","Cuauhtémoc","0001","Cuauhtémoc","2443","002",NA,NA,NA,"Fijo",28.44798369,-106.82427371,"DICIEMBRE 2014","Otra"
"32",6253630,"FRUTICULTORES UNIDOS DE CHIHUAHUA, S.P.R. DE RL","FRUTICULTORES UNIDOS DE CHIHUAHUA, S.P.R. DE R.L.",115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","LIBRAMIENTO MANUEL GÓMEZ MORÍN","CALLE","NINGUNO",0,"SN",NA,NA,0,NA,"COLONIA","NINGUNO",NA,NA,NA,31579,"08","CHIHUAHUA","017","Cuauhtémoc","0001","Cuauhtémoc","2443","002","5813080",NA,NA,"Fijo",28.45028082,-106.8221659,"JULIO 2010","Otra"
"33",543830,"GALDISA","AGROINDUSTRIAS GALDISA, S.A. DE C.V.",115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","RÍO SAN PEDRO","CALLE","JUAN RAMÓN JIMÉNEZ","CALLE","ABASOLO","CALLE","AMADO NERVO",1901,NA,NA,NA,NA,NA,"COLONIA","VILLEZCAS",NA,NA,NA,33130,"08","CHIHUAHUA","045","Meoqui","0001","Pedro Meoqui","0121","010","6394732222","AGALDISA@PRODIGY.NET.MX","WWW.GALDISA.COM.MX","Fijo",28.2770902,-105.47942084,"JULIO 2010","Otra"
"34",6292358,"GRUPO HIDROPONIA EL SILENCIO SPR DE RL DE CV","GRUPO HIDROPONIA EL SILENCIO SPR DE RL DE CV",115113,"Beneficio de productos agrícolas","51 a 100 personas","CARRETERA","CHIHUAHUA-DELICIAS KM 196.5",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","NINGUNO",NA,NA,NA,31000,"08","CHIHUAHUA","019","Chihuahua","0826","El Silencio","4571","800",NA,NA,NA,"Fijo",28.45168615,-105.93203494,"DICIEMBRE 2014","Otra"
"35",586931,"LOS HERMANOS",NA,115113,"Beneficio de productos agrícolas","51 a 100 personas","CALLE","NINGUNO","CALLE","SAN JOSÉ","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,33620,"08","CHIHUAHUA","062","Saucillo","0001","Saucillo","0442","041",NA,NA,NA,"Fijo",28.03599828,-105.29244642,"DICIEMBRE 2014","Otra"
"36",6253632,"MANZANAS CUAUHTEMOC, S.P.R. DE R.L. DE C.V.",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","JOSÉ MARÍA MORELOS","CALLE","MARGARITA MAZA DE JUÁREZ","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,0,NA,"COLONIA","NINGUNO",NA,NA,NA,31579,"08","CHIHUAHUA","017","Cuauhtémoc","0001","Cuauhtémoc","0606","003","5824475",NA,NA,"Fijo",28.42611875,-106.84035514,"JULIO 2010","Otra"
"37",6292387,"MANZANAS LA INSTANCIA SA DE CV","MANZANAS LA INSTANCIA SA DE CV",115113,"Beneficio de productos agrícolas","51 a 100 personas","CARRETERA","CUAUHTEMOC-RUBIO KM 37 300",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",172,NA,NA,NA,NA,NA,"COLONIA","MANITOBA",NA,NA,NA,31500,"08","CHIHUAHUA","017","Cuauhtémoc","0623","Campo Número Once y Medio","1375","011",NA,NA,NA,"Fijo",28.73275109,-106.91279874,"JULIO 2010","Otra"
"38",6728235,"MANZANAS TRIPLE A",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","JESÚS GARCÍA","CALLE","DÉCIMA NOVENA","CALLE","VIGÉSIMA TERCERA",NA,"SELECCIONE UNA OPCIÓN",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,31690,"08","CHIHUAHUA","031","Guerrero","0003","La Junta","0658","011",NA,NA,NA,"Fijo",28.48211322,-107.32631815,"ENERO 2016","Otra"
"39",6736486,"PROCESADORA DE NUEZ SPR DE RL DE CV","PROCESADORA REAL DE NUEZ SPR DE RL DE CV",115113,"Beneficio de productos agrícolas","0 a 5 personas","CARRETERA","FEDERAL LIBRE JIMENEZ-VILLA LÓPEZ KM 1.4",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","GUADALUPE VICTORIA",NA,NA,NA,33980,"08","CHIHUAHUA","036","Jiménez","0231","San José (San José de Arriba)","1934","800",NA,NA,NA,"Fijo",27.1135288,-104.95814383,"OCTUBRE 2016","Procesamiento"
"40",6190277,"PROCESOS INDUSTRIALIZADOS DE NUEZ",NA,115113,"Beneficio de productos agrícolas","6 a 10 personas","CALLE","NINGUNO",NA,"PRIVADA DE HILARIO ZALDIVAR",NA,"NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","AGRICOLA INDUSTRIAL",NA,NA,NA,33760,"08","CHIHUAHUA","011","Camargo","0001","Santa Rosalía de Camargo","2929","040",NA,NA,NA,"Fijo",27.65738161,-105.16386174,"JULIO 2010","Procesamiento"
"41",576150,"RAMOS HERMANOS INTERNACIONAL S.P.R. DE RL, DE C.V.","RAMOS HERMANOS INTERNACIONAL, S.P.R. DE R.L. DE C.V.",115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","MARGARITAS","CALLE","GERANIOS","CALLE","LAURELES","CALLE","CRISANTEMAS",0,"SN",NA,NA,NA,NA,"COLONIA","PROGRESO",NA,NA,NA,31890,"08","CHIHUAHUA","010","Buenaventura","0001","San Buenaventura","1815","020","6366960298","MODESTONEVAREZ@RAMOSHERMANOS.NET",NA,"Fijo",29.83484039,-107.45572379,"DICIEMBRE 2014","Otra"
"42",576163,"RAMOS HERMANOS INTERNACIONAL S.P.R. DE RL, DE C.V.","RAMOS HERMANOS INTERNACIONAL, S.P.R. DE R.L. DE C.V.",115113,"Beneficio de productos agrícolas","6 a 10 personas","CALLE","CRISANTEMAS","CALLE","GERANIOS","CALLE","LAURELES","CALLE","CRISANTEMAS",0,"SN",NA,NA,NA,NA,"COLONIA","PROGRESO",NA,NA,NA,31890,"08","CHIHUAHUA","010","Buenaventura","0001","San Buenaventura","1815","007","6366960298","MODESTONEVAREZ@RAMOSHERMANOS.NET",NA,"Fijo",29.83547294,-107.45546933,"DICIEMBRE 2014","Otra"
"43",609348,"SAM PECAN","SAM PECAN COMPANY, S. DE R.L. DE C.V.",115113,"Beneficio de productos agrícolas","51 a 100 personas","PROLONGACIÓN","VICENTE GUERRERO","CALLE","MAJALCA","CALLE","VICENTE GUERRERO","CALLE","MARSELLA ORIENTE",8234,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","LOS PARQUES",NA,NA,NA,32440,"08","CHIHUAHUA","037","Juárez","0001","Juárez","2003","078","6566258935",NA,NA,"Fijo",31.7322176,-106.40523975,"JULIO 2010","Otra"
"44",542742,"SEMILLAS CUSARARE",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","LIBRAMIENTO MANUEL GÓMEZ MORÍN","CALLE","INGENIERÍA","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","QUINTAS LUPITAS",NA,NA,NA,31517,"08","CHIHUAHUA","017","Cuauhtémoc","0001","Cuauhtémoc","1568","008","6255832483",NA,NA,"Fijo",28.4436237,-106.89057389,"JULIO 2010","Otra"
"45",580446,"UNIÓN DE PRODUCCIÓN Y COMERCIALIZACIÓN DEL NORTE","UNIÓN DE PRODUCCIÓN Y COMERCIALIZACIÓN DEL NORTE, S.P.R. DE C.V.",115113,"Beneficio de productos agrícolas","51 a 100 personas","CALLE","JOSÉ MARÍA MORELOS","CALLE","MARGARITA MAZA DE JUÁREZ","CALLE","NINGUNO","CALLE","CASCADA DE CUSARARE",1,"KILÓMETRO",NA,NA,NA,NA,"FRACCIONAMIENTO","BASASEACHI",NA,NA,NA,31542,"08","CHIHUAHUA","017","Cuauhtémoc","0001","Cuauhtémoc","0606","003","6251280447",NA,NA,"Fijo",28.42611403,-106.84036145,"DICIEMBRE 2014","Procesamiento"
"46",715828,"BENEFICIO DE PRODUCTOS AGRÍCOLAS",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","NINGUNO","EJE VIAL","EJE 6 SUR TRABAJADORES SOCIALES","EJE VIAL","EJE 5 SUR LEYES DE REFORMA","CIRCUITO","FRUTAS Y LEGUMBRES",55,NA,NA,NA,NA,NA,"COLONIA","GUADALUPE DEL MORAL","CENTRAL DE ABASTO","CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO","I-55",9040,"09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","2475","005","5556003270",NA,NA,"Fijo",19.3736898,-99.09475721,"DICIEMBRE 2014","Otra"
"47",6259841,"AGROSERVICIOS INTEGRALES DURANGO",NA,115113,"Beneficio de productos agrícolas","6 a 10 personas","CARRETERA","FEDERAL LIBRE NÚMERO 45 DURANGO - ZACATECAS KILÓMETRO 6 500",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"AEROPUERTO","ASID",NA,NA,NA,34307,"10","DURANGO","005","Durango","0611","Potrerillos","326A","800",NA,NA,NA,"Fijo",24.02281935,-104.53947889,"DICIEMBRE 2014","Otra"
